path,filename,extension,is_raw,has_pair,date_time_original,camera_make,camera_model,lens_model,iso,f_number,shutter_speed,focal_length,sharpness_score,exposure_score,noise_score,composition_score,aesthetic_score,total_score,faces,burst_group,burst_size,burst_rank,burst_keep
archive\DSC00925.JPG,DSC00925.JPG,jpg,false,true,2026:07:19 15:51:06,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,28,56.4,76.5,82.0,60.0,40.3,62.4,0,29,2,2,true
archive\DSC00926.ARW,DSC00926.ARW,arw,true,true,2026:07:19 15:51:07,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,28,55.8,77.3,81.9,60.0,41.7,62.5,0,29,2,1,true
archive\DSC00926.JPG,DSC00926.JPG,jpg,false,true,2026:07:19 15:51:07,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,28,55.8,77.3,81.9,60.0,41.7,62.5,0,29,2,1,true
archive\DSC00927.ARW,DSC00927.ARW,arw,true,true,2026:07:19 15:53:43,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,26,78.3,43.0,76.2,42.3,50.9,61.4,1,30,2,2,true
archive\DSC00927.JPG,DSC00927.JPG,jpg,false,true,2026:07:19 15:53:43,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,26,78.3,43.0,76.2,42.3,50.9,61.4,1,30,2,2,true
archive\DSC00928.ARW,DSC00928.ARW,arw,true,true,2026:07:19 15:53:44,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,26,77.4,42.6,76.5,60.0,52.0,63.9,0,30,2,1,true
archive\DSC00928.JPG,DSC00928.JPG,jpg,false,true,2026:07:19 15:53:44,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,26,77.4,42.6,76.5,60.0,52.0,63.9,0,30,2,1,true
archive\DSC00929.ARW,DSC00929.ARW,arw,true,true,2026:07:19 15:53:53,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,26,73.3,71.5,72.6,60.0,48.9,67.2,0,0,,,
archive\DSC00929.JPG,DSC00929.JPG,jpg,false,true,2026:07:19 15:53:53,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,26,73.3,71.5,72.6,60.0,48.9,67.2,0,0,,,
archive\DSC00930.ARW,DSC00930.ARW,arw,true,true,2026:07:19 15:54:56,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4,1/250,30,52.2,39.9,81.8,60.0,51.9,55.3,0,32,2,1,true
archive\DSC00930.JPG,DSC00930.JPG,jpg,false,true,2026:07:19 15:54:56,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4,1/250,30,52.2,39.9,81.8,60.0,51.9,55.3,0,32,2,1,true
archive\DSC00931.ARW,DSC00931.ARW,arw,true,true,2026:07:19 15:54:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4,1/250,30,48.5,39.6,82.2,60.0,50.9,53.9,0,32,2,2,true
archive\DSC00931.JPG,DSC00931.JPG,jpg,false,true,2026:07:19 15:54:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4,1/250,30,48.5,39.6,82.2,60.0,50.9,53.9,0,32,2,2,true
archive\DSC00934.ARW,DSC00934.ARW,arw,true,true,2026:07:19 15:55:42,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,63.3,37.3,78.5,60.0,52.4,58.3,0,0,,,
archive\DSC00934.JPG,DSC00934.JPG,jpg,false,true,2026:07:19 15:55:42,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,63.3,37.3,78.5,60.0,52.4,58.3,0,0,,,
archive\DSC00936.ARW,DSC00936.ARW,arw,true,true,2026:07:19 15:55:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,61.6,37.2,76.2,60.0,53.6,57.5,0,34,2,2,true
archive\DSC00936.JPG,DSC00936.JPG,jpg,false,true,2026:07:19 15:55:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,61.6,37.2,76.2,60.0,53.6,57.5,0,34,2,2,true
archive\DSC00937.ARW,DSC00937.ARW,arw,true,true,2026:07:19 15:55:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,61.6,36.0,77.1,60.0,55.6,57.7,0,34,2,1,true
