path,filename,extension,is_raw,has_pair,date_time_original,camera_make,camera_model,lens_model,iso,f_number,shutter_speed,focal_length,sharpness_score,exposure_score,noise_score,composition_score,aesthetic_score,total_score,faces,burst_group,burst_size,burst_rank,burst_keep
archive\DSC00893.ARW,DSC00893.ARW,arw,true,true,2026:07:19 14:02:45,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,25,76.8,91.7,40.0,60.0,52.3,68.1,0,0,,,
archive\DSC00893.JPG,DSC00893.JPG,jpg,false,true,2026:07:19 14:02:45,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,25,76.8,91.7,40.0,60.0,52.3,68.1,0,0,,,
archive\DSC00894.ARW,DSC00894.ARW,arw,true,true,2026:07:19 14:17:43,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4.5,1/125,25,55.4,93.2,49.0,60.0,46.2,61.3,0,0,,,
archive\DSC00894.JPG,DSC00894.JPG,jpg,false,true,2026:07:19 14:17:43,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4.5,1/125,25,55.4,93.2,49.0,60.0,46.2,61.3,0,0,,,
archive\DSC00895.ARW,DSC00895.ARW,arw,true,true,2026:07:19 14:17:46,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4.5,1/125,25,56.6,92.0,46.8,60.0,48.7,61.6,0,13,2,2,true
archive\DSC00895.JPG,DSC00895.JPG,jpg,false,true,2026:07:19 14:17:46,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4.5,1/125,25,56.6,92.0,46.8,60.0,48.7,61.6,0,13,2,2,true
archive\DSC00896.ARW,DSC00896.ARW,arw,true,true,2026:07:19 14:17:47,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4.5,1/125,25,57.9,92.2,48.7,60.0,49.9,62.5,0,13,2,1,true
archive\DSC00896.JPG,DSC00896.JPG,jpg,false,true,2026:07:19 14:17:47,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4.5,1/125,25,57.9,92.2,48.7,60.0,49.9,62.5,0,13,2,1,true
archive\DSC00897.ARW,DSC00897.ARW,arw,true,true,2026:07:19 14:21:39,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,160,2.8,1/80,63,91.3,19.2,88.2,60.0,38.1,63.7,0,0,,,
archive\DSC00897.JPG,DSC00897.JPG,jpg,false,true,2026:07:19 14:21:39,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,160,2.8,1/80,63,91.3,19.2,88.2,60.0,38.1,63.7,0,0,,,
