path,filename,extension,is_raw,has_pair,date_time_original,camera_make,camera_model,lens_model,iso,f_number,shutter_speed,focal_length,sharpness_score,exposure_score,noise_score,composition_score,aesthetic_score,total_score,faces,burst_group,burst_size,burst_rank,burst_keep
archive\DSC00879.ARW,DSC00879.ARW,arw,true,true,2026:07:19 13:56:32,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,52.6,79.6,50.0,60.0,60.0,59.8,0,0,,,
archive\DSC00879.JPG,DSC00879.JPG,jpg,false,true,2026:07:19 13:56:32,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,52.6,79.6,50.0,60.0,60.0,59.8,0,0,,,
archive\DSC00880.ARW,DSC00880.ARW,arw,true,true,2026:07:19 13:56:44,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,49.9,76.5,35.9,60.0,60.0,56.1,0,0,,,
archive\DSC00880.JPG,DSC00880.JPG,jpg,false,true,2026:07:19 13:56:44,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,49.9,76.5,35.9,60.0,60.0,56.1,0,0,,,
archive\DSC00881.ARW,DSC00881.ARW,arw,true,true,2026:07:19 13:56:47,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,46.6,81.7,53.4,60.0,60.0,58.7,0,0,,,
archive\DSC00881.JPG,DSC00881.JPG,jpg,false,true,2026:07:19 13:56:47,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,46.6,81.7,53.4,60.0,60.0,58.7,0,0,,,
archive\DSC00882.ARW,DSC00882.ARW,arw,true,true,2026:07:19 14:00:29,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,33,25.6,98.6,22.9,60.0,60.0,50.1,0,4,2,1,true
archive\DSC00882.JPG,DSC00882.JPG,jpg,false,true,2026:07:19 14:00:29,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,33,25.6,98.6,22.9,60.0,60.0,50.1,0,4,2,1,true
archive\DSC00883.ARW,DSC00883.ARW,arw,true,true,2026:07:19 14:00:31,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,34,24.5,98.9,24.4,60.0,60.0,50.0,0,4,2,2,true
archive\DSC00883.JPG,DSC00883.JPG,jpg,false,true,2026:07:19 14:00:31,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,34,24.5,98.9,24.4,60.0,60.0,50.0,0,4,2,2,true
archive\DSC00884.ARW,DSC00884.ARW,arw,true,true,2026:07:19 14:00:40,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,55,20.4,97.0,48.4,60.0,60.0,51.8,0,5,2,2,true
